Max flow: 284
Edges
From		To		Capacity/Flow
177		750		1.00/0.00
177		66		9.00/0.00
178		591		7.00/0.00
178		476		9.00/1.00
178		78		6.00/0.00
178		534		3.00/0.00
178		928		3.00/0.00
179		234		7.00/0.00
179		499		7.00/2.00
179		483		8.00/0.00
179		749		3.00/0.00
180		612		4.00/0.00
180		330		8.00/0.00
180		197		4.00/0.00
180		60		2.00/0.00
180		309		8.00/0.00
181		728		3.00/0.00
181		650		8.00/0.00
181		367		6.00/0.00
181		147		9.00/0.00
181		37		9.00/0.00
181		819		5.00/0.00
181		952		7.00/0.00
182		398		1.00/0.00
182		611		5.00/0.00
182		353		9.00/0.00
182		42		6.00/0.00
182		937		8.00/0.00
182		955		6.00/0.00
182		578		5.00/0.00
183		755		3.00/0.00
183		316		1.00/0.00
183		220		1.00/0.00
183		493		6.00/0.00
183		537		5.00/0.00
184		890		6.00/0.00
184		463		10.00/0.00
184		241		2.00/0.00
185		776		7.00/0.00
185		745		9.00/0.00
185		604		10.00/5.00
185		512		6.00/0.00
185		951		6.00/3.00
185		526		7.00/0.00
185		155		3.00/0.00
185		637		6.00/0.00
185		58		6.00/0.00
186		93		10.00/0.00
186		846		8.00/0.00
186		10		1.00/0.00
186		58		10.00/0.00
186		989		4.00/0.00
186		765		1.00/0.00
187		624		8.00/0.00
187		758		6.00/0.00
187		534		5.00/0.00
187		681		2.00/0.00
187		277		1.00/0.00
187		378		9.00/0.00
187		790		4.00/0.00
187		559		1.00/0.00
188		385		9.00/0.00
188		296		7.00/0.00
188		769		6.00/0.00
188		94		2.00/0.00
188		199		5.00/0.00
189		347		5.00/0.00
189		114		1.00/0.00
189		77		3.00/0.00
189		312		7.00/0.00
189		951		10.00/0.00
189		61		7.00/0.00
190		561		3.00/0.00
190		670		3.00/0.00
190		675		4.00/0.00
190		63		3.00/0.00
